"","x"
"1",104
"2",196
"3",198
"4",201
"5",213
"6",255
"7",257
"8",303
"9",304
"10",310
"11",311
"12",312
"13",313
"14",314
"15",315
"16",316
"17",318
"18",320
"19",322
"20",323
"21",325
"22",326
"23",327
"24",328
"25",329
"26",330
"27",331
"28",332
"29",333
"30",334
"31",335
"32",336
"33",337
"34",338
"35",339
"36",340
"37",341
"38",342
"39",343
"40",345
"41",346
"42",347
"43",348
"44",349
"45",350
"46",351
"47",352
"48",353
"49",354
"50",355
"51",356
"52",357
"53",358
"54",360
"55",362
"56",363
"57",364
"58",365
"59",366
"60",367
"61",368
"62",369
"63",370
"64",371
"65",372
"66",373
"67",374
"68",375
"69",376
"70",377
"71",378
"72",379
"73",385
"74",386
"75",387
"76",388
"77",389
"78",391
"79",394
"80",395
"81",396
"82",397
"83",398
"84",399
"85",400
"86",401
"87",402
"88",403
"89",404
"90",405
"91",406
"92",410
"93",411
"94",412
"95",413
"96",423
"97",425
"98",428
"99",448
"100",484
"101",485
"102",486
"103",487
"104",520
"105",521
"106",522
"107",523
"108",542
"109",571
"110",574
"111",578
"112",593
"113",651
"114",653
"115",708
"116",746
"117",765
"118",817
"119",820
"120",828
"121",829
"122",830
"123",834
"124",835
"125",836
"126",837
"127",839
"128",840
"129",841
"130",843
"131",844
"132",845
"133",846
"134",848
"135",850
"136",851
"137",865
"138",867
"139",868
"140",875
"141",876
"142",890
"143",892
"144",893
"145",894
"146",895
"147",898
"148",903
"149",904
"150",905
"151",906
"152",925
"153",932
"154",938
"155",939
"156",944
"157",984
"158",985
"159",986
"160",987
"161",992
"162",994
"163",999
"164",1001
"165",1003
"166",1004
"167",1007
"168",1008
"169",1009
"170",1014
"171",1015
"172",1016
"173",1018
"174",1019
"175",1026
"176",1029
"177",1030
"178",1031
"179",1032
"180",1037
"181",1038
"182",1039
"183",1041
"184",1042
"185",1043
"186",1044
"187",1045
"188",1046
"189",1049
"190",1056
"191",1057
"192",1058
"193",1059
"194",1060
"195",1061
"196",1063
"197",1064
"198",1065
"199",1066
"200",1070
"201",1071
"202",1072
"203",1073
"204",1075
"205",1077
"206",1078
"207",1079
"208",1080
"209",1083
"210",1085
"211",1086
"212",1087
"213",1090
"214",1091
"215",1092
"216",1098
"217",1101
"218",1103
"219",1104
"220",1105
"221",1107
"222",1108
"223",1110
"224",1111
"225",1112
"226",1113
"227",1118
"228",1119
"229",1123
"230",1136
"231",1140
"232",1141
"233",1142
"234",1143
"235",1150
"236",1151
"237",1152
"238",1153
"239",1157
"240",1170
"241",1177
"242",1178
"243",1180
"244",1181
"245",1182
"246",1183
"247",1239
"248",1250
"249",1255
"250",1257
"251",1261
"252",1306
"253",1314
"254",1315
"255",1321
"256",1324
"257",1326
"258",1333
"259",1336
"260",1339
"261",1346
"262",1347
"263",1348
"264",1349
"265",1350
"266",1351
"267",1352
"268",1353
"269",1354
"270",1355
"271",1356
"272",1357
"273",1358
"274",1359
"275",1360
"276",1361
"277",1362
"278",1363
"279",1384
"280",1397
"281",1398
"282",1404
"283",1408
"284",1414
"285",1418
"286",1421
"287",1428
"288",1429
"289",1430
"290",1431
"291",1432
"292",1433
"293",1434
"294",1452
"295",1455
"296",1458
"297",1459
"298",1472
"299",1473
"300",1509
"301",1510
"302",1518
"303",1519
"304",1520
"305",1522
"306",1523
"307",1524
"308",1526
"309",1528
"310",1529
"311",1534
"312",1535
"313",1536
"314",1537
"315",1539
"316",1540
"317",1541
"318",1543
"319",1544
"320",1545
"321",1546
"322",1547
"323",1579
"324",1580
"325",1582
"326",1583
"327",1587
"328",1588
"329",1590
"330",1591
"331",1594
"332",1595
"333",1598
"334",1601
"335",1604
"336",1605
"337",1608
"338",1609
"339",1610
"340",1620
"341",1621
"342",1623
"343",1624
"344",1625
"345",1626
"346",1627
"347",1628
"348",1629
"349",1630
"350",1632
"351",1634
"352",1636
"353",1638
"354",1639
"355",1641
"356",1645
"357",1646
"358",1647
"359",1648
"360",1649
"361",1665
"362",1666
"363",1667
"364",1776
"365",1825
"366",1828
"367",1829
"368",1830
"369",1831
"370",1832
"371",1833
"372",1834
"373",1835
"374",1837
"375",1838
"376",1839
"377",1840
"378",1841
"379",1842
"380",1843
"381",1844
"382",1847
"383",1850
"384",1879
"385",1892
"386",1893
"387",1898
"388",1900
"389",1901
"390",1905
"391",1906
"392",1925
"393",1927
"394",1928
"395",1931
"396",1936
"397",1938
"398",1939
"399",1940
"400",1942
"401",1946
"402",1947
"403",1948
"404",1949
"405",1950
"406",1979
"407",1980
"408",1982
"409",1983
"410",1985
"411",1986
"412",1987
"413",1988
"414",1991
"415",1993
"416",1994
"417",1995
"418",1996
"419",1997
"420",2016
"421",2022
"422",2029
"423",2044
"424",2045
"425",2046
"426",2047
"427",2077
"428",2078
"429",2079
"430",2093
"431",2118
"432",2123
"433",2124
"434",2132
"435",2135
"436",2136
"437",2137
"438",2138
"439",2139
"440",2140
"441",2141
"442",2142
"443",2145
"444",2147
"445",2165
"446",2174
"447",2176
"448",2182
"449",2185
"450",2186
"451",2187
"452",2191
"453",2194
"454",2195
"455",2197
"456",2221
"457",2223
"458",2244
"459",2245
"460",2246
"461",2251
"462",2260
"463",2265
"464",2284
"465",2285
"466",2286
"467",2287
"468",2289
"469",2292
"470",2293
"471",2294
"472",2295
