"","x"
"1",50
"2",51
"3",52
"4",53
"5",54
"6",55
"7",56
"8",57
"9",63
"10",64
"11",73
"12",81
"13",190
"14",191
"15",192
"16",215
"17",216
"18",217
"19",218
"20",219
"21",220
"22",221
"23",222
"24",223
"25",250
"26",581
"27",582
"28",583
"29",584
"30",660
"31",792
"32",793
"33",794
"34",795
"35",796
"36",809
"37",818
"38",822
"39",827
"40",828
"41",835
"42",894
"43",895
"44",896
"45",897
"46",898
"47",899
"48",900
"49",901
"50",902
"51",903
"52",904
"53",905
"54",906
"55",907
"56",908
"57",909
"58",1131
"59",1313
"60",1314
"61",1315
"62",1316
"63",1317
"64",1318
"65",1319
"66",1320
"67",1321
"68",1322
"69",1336
"70",1337
"71",1338
"72",1339
"73",1340
"74",1343
"75",1604
"76",1605
"77",1720
"78",2888
"79",2889
"80",2890
"81",2915
"82",2921
"83",2922
"84",2923
"85",2924
"86",2925
"87",2926
"88",2927
"89",2928
"90",2929
"91",2930
"92",2931
"93",2932
"94",2933
"95",2934
"96",2935
"97",2936
"98",2937
"99",2938
"100",2939
"101",2940
"102",2941
"103",2942
"104",2943
"105",2944
"106",2945
"107",2946
"108",2947
"109",2948
"110",2949
"111",2950
"112",2951
"113",2952
"114",2953
"115",2954
"116",2955
"117",2956
"118",2957
"119",2958
"120",2959
"121",2960
"122",2961
"123",2962
"124",2963
"125",2964
"126",2965
"127",2966
"128",2967
"129",2968
"130",2969
"131",2970
"132",2971
"133",2972
"134",2973
"135",2974
"136",2975
"137",2976
"138",2977
"139",2978
"140",2979
"141",2980
"142",2981
"143",2982
"144",2983
"145",2984
"146",2985
"147",2986
"148",2987
"149",2988
"150",2989
"151",2990
"152",2991
"153",2992
"154",2993
"155",2994
"156",2995
"157",2996
"158",2997
"159",2998
"160",2999
"161",3000
"162",3001
"163",3002
"164",3003
"165",3004
"166",3005
"167",3006
"168",3007
"169",3008
"170",3009
"171",3010
"172",3011
"173",3012
"174",3013
"175",3014
"176",3015
"177",3016
"178",3017
"179",3018
"180",3019
"181",3020
"182",3021
"183",3022
"184",3023
"185",3024
"186",3025
"187",3026
"188",3027
"189",3028
"190",3029
"191",3030
"192",3031
"193",3032
"194",3033
"195",3034
"196",3035
"197",3036
"198",3037
"199",3038
"200",3039
"201",3040
"202",3041
"203",3042
"204",3043
"205",3044
"206",3045
"207",3046
"208",3047
"209",3048
"210",3049
"211",3050
"212",3051
"213",3052
"214",3053
"215",3054
"216",3055
"217",3056
"218",3057
"219",3058
"220",3059
"221",3060
"222",3061
"223",3062
"224",3063
"225",3064
"226",3065
"227",3066
"228",3067
"229",3068
"230",3069
"231",3070
"232",3071
"233",3072
"234",3073
"235",3074
"236",3075
"237",3076
"238",3077
"239",3078
"240",3079
"241",3080
"242",3081
"243",3082
"244",3083
"245",3084
"246",3085
"247",3086
"248",3087
"249",3088
"250",3089
"251",3090
"252",3091
"253",3092
"254",3093
"255",3094
"256",3095
"257",3096
"258",3097
"259",3098
"260",3099
"261",3100
"262",3101
"263",3102
"264",3103
"265",3104
"266",3105
"267",3106
"268",3107
"269",3108
"270",3109
"271",3110
"272",3111
"273",3112
"274",3113
"275",3114
"276",3115
"277",3116
"278",3117
"279",3118
"280",3119
"281",3120
"282",3121
"283",3122
"284",3123
"285",3124
"286",3125
"287",3126
"288",3127
"289",3128
"290",3129
"291",3130
"292",3131
"293",3132
"294",3133
"295",3134
"296",3135
"297",3136
"298",3137
"299",3138
"300",3139
"301",3140
"302",3141
"303",3142
"304",3143
"305",3144
"306",3145
"307",3146
"308",3147
"309",3148
"310",3149
"311",3150
"312",3154
"313",3155
"314",3156
"315",3157
"316",3158
"317",3159
"318",3160
"319",3161
"320",3162
"321",3163
"322",3164
"323",3165
"324",3166
"325",3167
"326",3168
"327",3169
"328",3170
"329",3171
"330",3172
"331",3173
"332",3174
"333",3175
"334",3176
"335",3177
"336",3179
"337",3180
"338",3181
"339",3182
"340",3183
