region,id,network_id,takeup_survey,delay,intensive,understanding,network_missname,address,village,network_address,network_village
1,1116477,,,,,,1,47,11,,
1,1112396,,,,,,1,114,22,,
1,1116356,,,,,,1,44,11,,
1,1114243,,,,,,1,255,50,,
1,11112009,,,,,,1,144,30,,
1,1116523,,,,,,1,47,11,,
1,11125067,,,,,,1,229,46,,
1,1114262,,,,,,1,255,50,,
1,11116008,,,,,,1,6,3,,
2,2227241,,,,,,1,137,28,,
1,1116235,,,,,,1,41,11,,
3,3338214,,,,,,1,119,23,,
1,1116503,,,,,,1,47,11,,
1,11124068,,,,,,1,216,44,,
1,11125137,,,,,,1,231,46,,
1,11125216,,,,,,1,233,46,,
1,1116379,,,,,,1,44,11,,
1,1112184,,,,,,1,112,22,,
1,1118110,,,,,,1,104,20,,
3,3336063,,,,,,1,186,37,,
1,11117687,,,,,,1,80,17,,
3,33311005,,,,,,1,133,27,,
1,11113052,,,,,,1,265,51,,
1,1118058,,,,,,1,103,20,,
3,33314186,,,,,,1,22,7,,
1,11113034,,,,,,1,265,51,,
1,11122006,,,,,,1,3,2,,
1,1116088,,,,,,1,38,11,,
1,1115212,,,,,,1,195,39,,
2,2225052,,,,,,1,130,26,,
3,3331048,,,,,,1,2,1,,
1,11117415,,,,,,1,87,17,,
1,11123443,,,,,,1,100,19,,
1,11121180,,,,,,1,70,14,,
1,11117643,,,,,,1,79,17,,
1,11117048,,,,,,1,82,17,,
2,22210373,,,,,,1,35,9,,
3,3337092,,,,,,1,15,5,,
1,1119996323,,,,,,1,11,4,,
3,3333114,,,,,,1,77,16,,
1,1114637,,,,,,1,262,50,,
1,1119996040,,,,,,1,9,4,,
1,1114336,,,,,,1,256,50,,
1,11117748,,,,,,1,81,17,,
3,33311026,,,,,,1,133,27,,
1,11117356,,,,,,1,86,17,,
1,11123430,,,,,,1,100,19,,
3,3335124,,,,,,1,243,48,,
1,11117049,,,,,,1,82,17,,
1,11117059,,,,,,1,82,17,,
1,1115230,,,,,,1,195,39,,
1,1112428,,,,,,1,114,22,,
3,3333127,,,,,,1,77,16,,
2,2222044,,,,,,1,238,47,,
1,11112404,,,,,,1,152,30,,
3,3337111,,,,,,1,15,5,,
1,1114263,,,,,,1,255,50,,
1,11117730,,,,,,1,81,17,,
3,3333116,,,,,,1,77,16,,
1,1119996397,,,,,,1,11,4,,
2,2226285,,,,,,1,129,25,,
1,1115442,,,,,,1,197,39,,
1,11113242,,,,,,1,267,51,,
,1111431,,,,,,1,,,,
1,1111403,,,,,,1,59,12,,
1,1119987106,,,,,,1,123,24,,
1,1114176,,,,,,1,254,50,,
1,11113292,,,,,,1,268,51,,
3,33314008,,,,,,1,20,7,,
1,11123423,,,,,,1,99,19,,
1,11122075,,,,,,1,4,2,,
1,1119996079,,,,,,1,9,4,,
3,3336110,,,,,,1,186,37,,
2,22214175,,,,,,1,192,38,,
1,11123520,,,,,,1,93,19,,
1,1115035,,,,,,1,193,39,,
3,33314032,,,,,,1,20,7,,
1,11112298,,,,,,1,150,30,,
1,11117360,,,,,,1,86,17,,
1,11117754,,,,,,1,81,17,,
1,11113263,,,,,,1,267,51,,
3,33313191,,,,,,1,17,6,,
1,11122077,,,,,,1,4,2,,
3,33314082,,,,,,1,19,7,,
2,22211297,,,,,,1,28,8,,
1,1119987058,,,,,,1,123,24,,
1,1113125,,,,,,1,167,33,,
1,1114274,,,,,,1,255,50,,
3,3338009,,,,,,1,116,23,,
1,11117325,,,,,,1,86,17,,
3,33314081,,,,,,1,19,7,,
1,11117443,,,,,,1,87,17,,
3,3338133,,,,,,1,118,23,,
3,3338040,,,,,,1,116,23,,
1,11112052,,,,,,1,144,30,,
1,11110084,,,,,,1,198,40,,
1,11125063,,,,,,1,229,46,,
1,1112437,,,,,,1,115,22,,
3,3334023,,,,,,1,222,45,,
3,33314028,,,,,,1,20,7,,
3,3336073,,,,,,1,186,37,,
3,3334021,,,,,,1,222,45,,
3,3334104,,,,,,1,223,45,,
2,2229083,,,,,,1,62,13,,
1,1111030,,,,,,1,52,12,,
1,1116462,,,,,,1,47,11,,
1,1114400,,,,,,1,257,50,,
3,33312008,,,,,,1,247,49,,
3,3338203,,,,,,1,119,23,,
1,11125288,,,,,,1,227,46,,
1,1114447,,,,,,1,259,50,,
1,1119122,,,,,,1,212,42,,
2,2226134,,,,,,1,128,25,,
3,3337084,,,,,,1,15,5,,
2,22211185,99,,,,,0,26,8,,
1,11124050,,,,,,1,216,44,,
1,11121207,,,,,,1,70,14,,
1,1116515,,,,,,1,47,11,,
3,3335028,,,,,,1,241,48,,
2,22211310,,,,,,1,29,8,,
1,1116457,,,,,,1,47,11,,
1,11117057,,,,,,1,82,17,,
3,33312219,,,,,,1,251,49,,
3,3333129,,,,,,1,77,16,,
,11124070,,,,,,1,,,,
1,11125215,,,,,,1,233,46,,
1,11123128,,,,,,1,97,19,,
1,11125271,,,,,,1,227,46,,
3,3335049,,,,,,1,241,48,,
1,11125144,,,,,,1,231,46,,
3,3339103,,,,,,1,91,18,,
1,1116368,,,,,,1,44,11,,
3,33312262,,,,,,1,252,49,,
3,3333108,,,,,,1,77,16,,
3,3333117,,,,,,1,77,16,,
1,1118096,,,,,,1,104,20,,
1,1116319,,,,,,1,44,11,,
1,11112022,,,,,,1,144,30,,
1,1115056,,,,,,1,193,39,,
1,11123495,,,,,,1,93,19,,
2,2226310,,,,,,1,129,25,,
1,11124035,,,,,,1,216,44,,
1,11113282,,,,,,1,268,51,,
3,3334112,,,,,,1,223,45,,
1,11110204,,,,,,1,200,40,,
1,11123104,,,,,,1,96,19,,
2,22210155,,,,,,1,32,9,,
1,1114572,,,,,,1,261,50,,
1,11113240,,,,,,1,267,51,,
1,11110189,,,,,,1,200,40,,
1,11117747,,,,,,1,81,17,,
1,1114193,,,,,,1,255,50,,
1,1116299,,,,,,1,43,11,,
1,1113146,,,,,,1,167,33,,
1,11124086,,,,,,1,217,44,,
2,2226214,,,,,,1,128,25,,
1,11123496,,,,,,1,93,19,,
