id,region,takeup_survey,age,agpop,educ,rice_inc,ricearea_2010,disaster_loss,insurance_repay,insurance_buy,disaster_prob,general_trust,male,default,delay,intensive,info_takeup_rate,info_takeup_list,info_none,understanding,day,risk_averse,literacy,educ_good,reveal,disaster_yes,address,village,network_obs,network_rate_preintensive,network_rate_presession,network_rate_pretakeup,network_rate_presimple,knowledge_network,friend1,friend2,friend3,friend4,friend5,network_onlyone,network_onlytwo,network_twomore,network_yes,network_twoside,secondnet_obs,network_second,mean_allnetindegree,mean_1steduc_indegree,mean_allnetpath_out_ind,mean_1steduc_path_out_ind,mean_allnetpath_in_ind,mean_1steduc_path_in_ind,mean_allneteigenvector,mean_1steduc_eigenvector,eigenvector,indegree,path_in_ind,path_out_ind
1111030,1,1,76,5,1,40,5,,0,0,50,1,1,1,1,0,1,0,0,.80000001,3,0,1,0,,,52,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111031,1,0,54,4,0,100,10,10,1,0,20,0,1,1,1,0,0,0,1,0,3,0,0,0,,1,52,12,5,0,0,,0,,0,0,0,0,1,0,0,0,0,0,14,.21428572,4,0,2.6400001,0,2.5076923,0,.18108068,0,0,2,2.8461537,1.6
1111032,1,1,67,2,2,60,10,,0,0,30,1,1,1,1,1,0,0,1,.80000001,3,0,1,1,,,52,12,5,.40000001,.40000001,,0,.5,0,0,0,0,1,0,1,1,1,0,9,.22222222,4.3333335,0,2.4333334,0,2.1794872,0,.09773884,0,.31417176,3,2.5384614,2.4000001
1111034,1,1,74,2,1,30,.74,90,0,0,50,1,1,1,0,1,0,0,1,,1,.39999998,1,0,0,1,52,12,4,0,0,,0,,0,0,0,1,0,0,0,0,0,0,9,0,4.5,0,2.1500001,0,2.3846154,0,0,0,.13224195,3,2.6474359,2.1818182
1111035,1,1,60,6,1,50,11,25,1,0,20,0,1,1,0,1,0,0,1,1,1,.39999998,1,0,0,1,52,12,4,.25,.25,0,0,.80000001,0,0,0,1,0,1,0,0,1,0,,,0,0,0,0,0,0,0,0,.0025339711,1,1,2.6759501
1111036,1,0,56,6,1,90,13,,1,0,40,0,1,1,0,0,0,0,1,.2,3,0,1,0,0,0,52,12,1,0,0,,0,,1,0,0,0,0,0,0,0,0,0,4,0,7,0,2.7,0,1.9230769,0,0,0,.11514702,2,2.6923077,3.5999999
1111038,1,1,61,13,1,30,4,,0,0,50,0,1,1,1,1,0,0,1,.80000001,3,0,1,0,,0,52,12,5,0,0,,0,,0,0,0,0,1,0,0,0,0,0,13,.23076923,4.5,0,2.55,0,2.2307692,0,.15708588,0,.29321653,4,2.1538463,2.2
1111040,1,1,40,4,2,100,30,,1,0,20,0,1,1,1,1,0,1,0,.60000002,3,.19999999,1,1,,1,52,12,5,0,.40000001,.5,.40000001,.2,0,0,0,0,1,0,0,0,0,0,13,.23076923,3.2,0,2.78,0,2.6461539,0,.094483458,0,.27705988,1,3.6923077,1.5
1111041,1,0,63,3,1,70,2,,0,0,30,1,1,1,1,1,1,0,0,0,3,0,1,0,,0,52,12,5,0,.2,0,.2,.2,0,0,0,0,1,0,0,0,0,0,8,.25,3,0,2.7333333,0,2.4615386,0,.2408451,0,0,7,1.9230769,2.7
1111042,1,1,57,9,2,,1,,1,1,10,1,1,1,0,0,0,0,1,,1,.60000002,1,1,1,0,52,12,4,.25,.25,1,0,1,0,0,0,1,0,1,0,0,1,0,4,.25,2,2,2.4000001,2.4000001,4.3076925,4.3076925,.084091887,.084091887,.064053729,1,4,3
1111045,1,1,45,4,2,70,15,,0,0,50,1,1,1,1,0,0,0,1,1,3,.2,1,1,,,52,12,5,.40000001,.40000001,,0,.80000001,0,0,0,0,1,0,1,1,1,0,9,.22222222,5.5,0,3,0,2.0769229,0,.15708588,0,0,5,2.1538463,3.3
1111046,1,0,81,9,0,10,1,,1,1,40,1,0,1,0,1,0,0,1,.80000001,1,.60000002,0,0,,,52,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111049,1,1,74,2,0,70,4.27,,0,1,50,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,52,12,4,.25,.25,0,0,.80000001,0,0,0,1,0,1,0,0,1,0,5,0,4,0,1.8,0,2.2307692,0,0,0,.084091887,2,4.3076925,2.4000001
1111050,1,1,41,4,3,60,25,,1,1,20,0,1,1,1,1,1,0,0,.40000001,3,.39999998,1,1,,1,52,12,5,0,0,,0,,0,0,0,0,1,0,0,0,0,0,12,.16666667,4.4000001,0,2.6199999,0,2.2615385,0,.12147766,0,0,4,2.2307692,1.8
1111053,1,0,71,14,0,20,2.3,,0,0,30,0,1,1,0,0,0,0,1,0,1,.19999999,0,0,0,1,52,12,4,.75,.75,.66666669,0,.93333334,0,0,0,1,0,0,0,1,1,0,7,.14285715,1.5,1.5,2.5379751,2.5379751,2.6538463,2.6538463,.04331293,.04331293,.014815784,3,2.6474359,3
1111054,1,1,70,7,1,40,3.8,,1,0,20,0,1,1,1,0,0,0,1,.80000001,1,0,1,0,,,52,12,5,.60000002,.60000002,,0,1,0,0,0,0,1,0,0,1,1,0,12,.16666667,1.6666666,1,1.6282052,0,1.3846154,0,.001781012,.00058048201,.00091384398,3,2.6474359,4.4814816
1111055,1,1,76,4,1,40,5,,0,0,50,1,1,1,1,1,0,0,1,.80000001,3,.2,1,0,,,52,12,5,.40000001,.40000001,,0,.80000001,0,0,0,0,1,0,1,1,1,0,9,.22222222,6,0,3,0,2.0384617,0,0,0,.31417176,4,2.2307692,3.3
1111123,1,1,61,5,0,60,5.49,,1,0,60,1,1,1,0,1,0,0,1,,1,1,0,0,0,0,53,12,4,.5,.5,1,0,1,0,0,0,1,0,0,1,1,1,.25,11,.18181819,3,2.5,1.1794871,0,0,0,.0050428091,.00088336901,.00258744,1,0,3.7692308
1111124,1,1,50,8,1,60,15,,0,1,30,1,1,1,0,0,0,0,1,,1,0,1,0,0,0,53,12,4,0,0,,0,,0,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,.00088619301,3,0,2.3589745
1111125,1,1,59,7,0,80,4,,1,1,20,0,1,1,1,1,0,0,1,0,3,0,0,0,,0,53,12,5,0,0,,0,,0,0,0,0,1,0,0,0,0,0,12,.083333336,2.3333333,0,3.9230769,0,1.3846154,0,.0020634586,0,.001058738,2,0,3.6538463
1111126,1,1,51,7,1,30,10,80,0,0,20,1,1,1,0,1,0,0,1,1,1,.60000002,1,0,0,1,53,12,4,.25,.5,1,.25,.5,0,0,0,1,0,1,0,0,1,.25,13,.38461539,3.3333333,2,2.3574662,0,2.5710955,0,.034839109,.00063593098,.001130807,3,0,0
1111127,1,0,52,4,1,100,8,,1,1,20,0,1,1,1,0,1,0,0,.40000001,3,0,1,0,,0,53,12,5,0,.2,1,.2,,0,0,0,0,1,0,0,0,0,0,20,.2,3.8,0,2.8025641,0,.61538464,0,.0039692414,0,.003394308,3,0,3.4230769
1111128,1,1,48,6,1,90,8,,0,0,50,1,1,1,1,0,0,0,1,.2,3,.39999998,1,0,,0,53,12,5,0,.2,1,.2,,0,0,0,0,1,0,0,0,0,0,8,.125,2,0,3.2115383,0,2,0,.033724017,0,.01336169,4,0,3.5384614
1111130,1,1,64,6,2,20,4,,1,1,30,1,1,1,0,0,0,0,1,,1,0,1,1,0,1,53,12,4,0,.25,1,.25,,0,0,0,1,0,0,0,0,0,0,9,.44444445,4.5,0,3.3333335,0,1.5384616,0,.0016832615,0,.0013084071,1,0,0
1111131,1,0,72,12,0,100,4.55,,0,0,50,1,1,1,1,1,0,0,1,.40000001,3,0,0,0,,0,53,12,5,.2,.2,1,0,1,0,0,0,0,1,1,0,0,1,0,14,.071428575,2.75,3,1.8653846,0,0,0,.001326885,.001130807,.00090778101,1,0,4.0769229
1111133,1,1,48,7,1,,4.5,,1,1,20,0,1,1,1,0,0,0,1,1,3,0,1,0,,0,53,12,5,.80000001,.80000001,,0,1,0,0,0,0,1,0,0,1,1,.2,6,.33333334,2,1,1.7115384,0,0,0,.0019873951,.00058048201,.0024803299,6,3.0769231,4.3076925
1111136,1,0,56,7,1,90,5,50,0,0,30,0,1,1,1,0,0,0,1,0,3,.39999998,1,0,,1,53,12,5,0,0,,0,,0,0,0,0,1,0,0,0,0,0,5,0,3,0,3.8846154,0,4.1538463,0,.004283838,0,.002119238,3,0,0
1111140,1,1,65,6,2,100,4.5,,1,1,20,1,1,1,1,1,1,0,0,0,3,0,1,1,,,53,12,5,0,.2,1,.2,,0,0,0,0,1,0,0,0,0,0,16,.25,3,0,2.9423077,0,.76923078,0,.0052387533,0,.004283838,3,4.1538463,3.8846154
1111144,1,1,45,4,1,90,7.5,,0,0,50,1,1,1,1,1,1,0,0,.2,3,0,1,0,,0,53,12,5,0,0,,0,,0,0,0,0,1,0,0,0,0,0,18,.22222222,4,0,2.9326923,0,1.8076923,0,.005561274,0,.0038045871,1,0,3.9230769
1111146,1,0,43,5,2,80,3,,1,1,40,0,1,1,1,0,1,0,0,.40000001,3,0,1,1,,0,53,12,4,0,0,,0,,0,0,0,1,0,0,0,0,0,0,12,0,2,0,2.6923077,0,0,0,.0016439207,0,.00099875696,3,0,3.8076923
1111147,1,1,46,4,1,30,4.4,50,0,0,20,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,53,12,4,.5,.5,1,0,1,0,0,0,1,0,0,1,1,1,.5,5,.2,2,2,1.8846154,1.8846154,0,0,.0018591235,.0018591235,.00063593098,2,0,0
1111148,1,1,62,2,1,100,2.73,30,0,0,20,1,1,1,1,0,0,1,0,.80000001,3,0,1,0,,1,53,12,5,0,.2,1,.2,,0,0,0,0,1,0,0,0,0,0,4,0,3,0,2.3589745,0,0,0,.00088619301,0,.00047871601,1,0,1
1111151,1,0,43,3,1,80,14.8,,0,0,30,1,1,1,0,0,0,0,1,0,2,0,1,0,0,0,55,12,5,0,0,,0,,0,0,0,0,1,0,0,0,0,0,4,0,7,0,3.2941177,0,2.090909,0,.15809292,0,.082346581,6,2.3636363,4.2647057
1111154,1,1,62,6,1,60,5.88,,1,1,30,1,1,1,1,0,0,0,1,.40000001,6,.19999999,1,0,,0,55,12,5,0,0,,0,,0,0,0,0,1,0,0,0,0,0,10,.1,2,0,3.2254901,0,2.6363635,0,.098912768,0,.11139544,2,2.909091,3.4117646
1111155,1,0,53,4,1,100,8,,0,0,50,1,1,1,1,1,1,0,0,0,6,.39999998,1,0,,0,55,12,5,0,.40000001,.5,.40000001,0,0,0,0,0,1,0,0,0,0,0,14,0,4.6666665,0,3.4411764,0,2.5151515,0,.14193086,0,.15809292,7,2.090909,3.2941177
1111161,1,1,56,7,1,100,5.8,30,1,1,40,0,1,1,0,0,0,0,1,.2,2,.39999998,1,0,0,1,55,12,5,0,.2,1,.2,,0,0,0,0,1,0,0,0,0,0,18,.055555556,5.5999999,0,2.9705882,0,2.4424243,0,.20267071,0,.18993595,5,2.2727273,2.6764705
1111162,1,1,60,6,1,90,8.5,20,0,1,0,0,1,1,0,0,0,0,1,,2,0,1,0,0,1,55,12,5,0,.2,1,.2,.2,0,0,0,0,1,0,0,0,0,0,19,.10526316,5.5999999,0,2.3058825,0,2.5827956,0,.19474578,0,.23205057,6,2.2727273,2.6470587
1111163,1,1,60,5,1,90,5,30,1,1,20,0,1,1,0,0,0,0,1,.60000002,2,1,1,0,0,1,55,12,5,0,.40000001,1,.40000001,.1,0,0,0,0,1,0,0,0,0,0,17,.23529412,1.25,0,2.9191177,0,2.7727273,0,.15593563,0,.14449978,2,3.7878788,2.6764705
1111164,1,1,54,4,1,100,4.1,,0,0,30,1,1,1,0,1,0,0,1,.60000002,2,.39999998,1,0,0,0,55,12,5,0,.40000001,1,.40000001,.40000001,0,0,0,0,1,0,0,0,0,0,20,.2,3.5999999,0,2.9470589,0,2.0181818,0,.18141584,0,.11087374,1,0,2.5
1111165,1,1,53,4,1,100,4.1,50,1,0,20,1,1,1,0,0,0,0,1,0,2,0,1,0,1,1,55,12,5,0,.60000002,.66666669,.60000002,.1,0,0,0,0,1,0,0,0,0,0,20,.050000001,4.1999998,0,3.1764705,0,1.9636364,0,.1370163,0,.10140107,2,4.6363635,2.7647059
1111166,1,1,44,4,2,100,4.1,10,0,0,50,1,1,1,1,0,1,0,0,1,6,0,1,1,,1,55,12,5,.2,.40000001,1,.2,.30000001,0,0,0,0,1,1,0,0,1,.2,12,.083333336,1,1,2.8235295,2.5,2.181818,0,.070758268,.11087374,.069352977,2,0,2.8823528
1111169,1,1,73,4,2,100,5.8,70,1,0,30,1,1,1,0,1,0,0,1,.2,2,0,1,1,1,1,55,12,5,.2,.40000001,0,.2,0,0,0,0,0,1,1,0,0,1,.2,16,.125,5,4,3.4294116,3.2941177,2.181818,2.3636363,.14209713,.15046979,.14865443,4,2.4848485,3.5
1111170,1,1,60,6,1,20,6,30,0,0,50,1,1,1,1,0,0,0,1,.60000002,6,0,1,0,,1,55,12,5,0,0,,0,,0,0,0,0,1,0,0,0,0,0,11,.18181819,6,0,3.0784314,0,2.2828283,0,.22995064,0,.084321693,1,3.2121212,3.3823528
