id,region,takeup_survey,age,agpop,educ,rice_inc,ricearea_2010,disaster_loss,insurance_repay,insurance_buy,disaster_prob,general_trust,male,default,delay,intensive,info_takeup_rate,info_takeup_list,info_none,understanding,day,risk_averse,literacy,educ_good,reveal,disaster_yes,address,village
3331046,3,0,53,5,0,30,15,20,1,1,20,1,1,1,0,0,0,0,1,.40000001,30,0,0,0,0,1,2,1
3331052,3,0,59,7,2,100,20,20,1,0,50,1,1,1,0,0,0,0,1,.2,30,0,1,1,0,1,2,1
3331047,3,0,59,5,1,100,10,,0,0,50,1,1,1,0,1,0,0,1,.80000001,30,0,1,0,0,0,2,1
3331065,3,1,45,2,1,100,2,40,0,1,20,1,1,1,0,1,0,0,1,0,30,0,1,0,0,1,2,1
3331049,3,1,59,4,1,100,10,30,1,0,40,1,1,1,0,0,0,0,1,.60000002,30,0,1,0,0,1,2,1
3331045,3,1,63,3,2,100,22,5,1,0,10,1,1,1,0,1,0,0,1,.80000001,30,.19999999,1,1,0,1,2,1
3331068,3,1,59,7,0,100,19,28,0,0,50,1,0,1,0,0,0,0,1,0,30,0,0,0,0,1,2,1
3331041,3,1,36,5,2,100,70,28,1,1,50,0,1,1,0,0,0,0,1,.2,30,0,1,1,0,1,2,1
3331042,3,1,49,4,2,100,21,50,0,1,20,1,1,1,0,1,0,0,1,.60000002,30,0,1,1,0,1,2,1
3331059,3,1,51,7,1,100,150,20,1,1,20,0,1,1,0,0,0,0,1,.60000002,30,0,1,0,0,1,2,1
3331060,3,0,47,4,2,100,8,,0,0,30,1,1,1,0,1,0,0,1,.80000001,30,0,1,1,0,0,2,1
11122052,1,0,67,2,1,100,8,20,0,1,80,1,1,1,0,0,0,0,1,.2,13,0,1,0,0,1,3,2
11122032,1,1,43,6,2,100,19,30,0,1,20,1,1,1,1,0,1,0,0,.40000001,15,0,1,1,,1,3,2
11122013,1,1,76,6,1,100,,,1,0,50,1,1,1,1,1,0,1,0,.2,15,.60000002,1,0,,0,3,2
11122046,1,0,42,4,1,100,8,,1,1,40,1,1,1,0,0,0,0,1,.60000002,13,0,1,0,0,0,3,2
11122033,1,0,33,4,1,70,10,,0,0,50,1,1,1,1,1,0,0,1,.2,15,0,1,0,,0,3,2
11122023,1,1,78,7,1,100,14,,1,0,30,1,1,1,1,1,1,0,0,.2,13,.39999998,1,0,,0,3,2
11122012,1,0,33,3,1,,17,,1,1,20,1,1,1,0,1,0,0,1,.40000001,13,0,1,0,0,0,3,2
11122001,1,0,64,3,0,100,23,10,0,0,50,0,1,1,1,0,0,0,1,.2,15,0,0,0,,1,3,2
11122048,1,0,52,6,1,70,11,10,1,1,0,1,1,1,1,1,1,0,0,.60000002,15,.19999999,1,0,,1,3,2
11122039,1,0,76,6,1,100,5,,1,1,20,1,1,1,1,1,0,0,1,.2,15,0,1,0,,0,3,2
11122042,1,1,44,3,1,40,7.5,,1,1,20,1,1,1,1,1,1,0,0,.60000002,15,0,1,0,,0,3,2
11122021,1,0,73,2,1,40,1.4,20,0,1,20,1,1,1,0,0,0,0,1,.2,15,0,1,0,1,1,3,2
