"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1111031,0,0,0,0,0,1,0
"2",1111032,1,1,1,1,1,1,1
"3",1111034,1,1,0,1,1,1,1
"4",1111035,1,1,1,1,1,1,1
"5",1111036,0,0,0,0,0,0,0
"6",1111038,1,1,1,1,1,1,1
"7",1111040,0,0,0,0,0,0,0
"8",1111041,0,0,0,0,0,0,0
"9",1111042,1,1,1,1,1,1,1
"10",1111045,1,1,1,1,1,1,1
"11",1111049,0,0,0,0,0,0,0
"12",1111050,1,1,1,1,1,1,1
"13",1111053,0,0,0,0,0,0,1
"14",1111054,1,1,1,1,1,1,1
"15",1111055,0,1,0,0,1,1,1
"16",1111123,0,0,0,0,0,0,0
"17",1111125,0,0,0,0,0,0,0
"18",1111126,0,0,0,0,0,0,0
"19",1111127,1,1,1,1,1,1,1
"20",1111128,0,1,0,0,0,1,1
"21",1111130,1,1,1,1,1,1,1
"22",1111131,1,1,1,1,1,1,1
"23",1111133,0,1,0,0,0,1,0
"24",1111136,0,0,0,0,0,0,0
"25",1111140,0,0,0,0,0,0,0
"26",1111144,0,0,0,0,0,0,0
"27",1111146,0,0,0,0,0,0,0
"28",1111147,0,0,0,0,0,0,0
"29",1111148,0,0,0,0,0,0,0
"30",1111151,0,1,1,0,1,1,1
"31",1111154,1,1,1,1,1,1,1
"32",1111155,1,1,1,1,1,1,1
"33",1111161,0,0,0,0,0,0,1
"34",1111162,0,0,0,0,0,0,0
"35",1111163,0,1,0,1,1,1,1
"36",1111164,1,1,1,1,1,1,1
"37",1111165,0,0,0,0,0,0,0
"38",1111166,0,0,0,0,0,0,0
"39",1111169,0,1,0,0,1,1,1
"40",1111170,1,1,1,1,1,1,1
"41",1111171,0,0,0,0,0,0,1
"42",1111174,0,0,0,0,0,0,0
"43",1111175,0,0,0,0,0,0,1
"44",1111176,1,1,1,1,1,1,1
"45",1111177,0,0,0,0,0,0,0
"46",1111178,0,1,0,1,1,1,1
"47",1111179,0,0,0,0,0,0,0
"48",1111184,1,1,1,1,1,1,1
"49",1111185,0,0,0,0,0,0,1
"50",1111186,1,1,1,1,1,1,1
"51",1111187,0,0,0,0,0,0,1
"52",1111190,0,1,0,1,1,1,0
"53",1111191,1,1,1,0,1,1,1
"54",1111194,0,0,0,0,0,0,0
"55",1111196,1,1,1,0,1,1,1
"56",1111197,0,0,0,0,0,0,0
"57",1111201,1,1,1,1,1,1,0
"58",1111202,1,1,1,1,1,1,1
"59",1111203,1,1,1,1,1,1,1
