"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1111031,1,0,1,0,0,0,0
"2",1111032,1,0,1,0,0,0,1
"3",1111034,1,0,1,0,0,0,1
"4",1111035,1,1,1,0,1,0,1
"5",1111036,1,0,1,0,0,0,1
"6",1111038,0,0,0,0,0,0,1
"7",1111040,1,1,1,0,0,1,0
"8",1111041,1,0,1,0,0,0,1
"9",1111042,1,1,1,0,1,0,1
"10",1111045,1,0,1,0,0,0,1
"11",1111049,1,0,1,0,0,0,1
"12",1111050,1,1,1,0,0,1,0
"13",1111053,0,0,0,0,0,0,1
"14",1111054,1,0,1,0,0,0,1
"15",1111055,1,0,1,0,0,0,1
"16",1111123,1,0,1,0,0,0,1
"17",1111125,1,1,1,0,1,0,1
"18",1111126,1,1,1,1,1,1,1
"19",1111127,1,0,1,0,0,0,1
"20",1111128,1,0,1,0,0,1,1
"21",1111130,1,0,1,0,0,0,1
"22",1111131,1,0,1,0,0,0,1
"23",1111133,0,0,0,0,0,0,0
"24",1111136,1,0,1,0,0,0,1
"25",1111140,1,1,1,0,1,0,1
"26",1111144,1,0,1,0,0,0,1
"27",1111146,1,0,1,0,0,0,1
"28",1111147,1,0,1,0,0,0,1
"29",1111148,1,1,1,0,0,0,1
"30",1111151,1,0,1,0,0,1,1
"31",1111154,1,0,1,0,1,0,1
"32",1111155,1,0,1,0,0,0,1
"33",1111161,1,0,1,0,0,0,1
"34",1111162,1,1,1,1,1,1,1
"35",1111163,1,1,1,1,1,1,1
"36",1111164,1,0,1,0,0,0,1
"37",1111165,0,0,0,0,0,0,0
"38",1111166,1,0,1,0,0,0,1
"39",1111169,1,0,1,0,0,0,1
"40",1111170,1,0,1,0,0,0,1
"41",1111171,0,1,0,0,0,0,0
"42",1111174,1,1,1,0,0,0,1
"43",1111175,1,0,1,0,0,0,1
"44",1111176,1,0,1,0,0,0,1
"45",1111177,1,0,1,0,0,0,1
"46",1111178,1,1,1,0,1,0,1
"47",1111179,1,0,1,0,0,0,0
"48",1111184,1,1,1,0,1,0,1
"49",1111185,1,0,1,0,0,0,1
"50",1111186,1,0,1,0,0,0,1
"51",1111187,1,0,1,0,0,1,1
"52",1111190,1,1,1,0,0,0,0
"53",1111191,1,0,1,0,0,0,0
"54",1111194,1,0,1,0,0,0,1
"55",1111196,1,0,1,0,0,0,1
"56",1111197,1,0,1,0,0,0,1
"57",1111201,1,0,1,0,0,0,1
"58",1111202,1,1,1,0,1,0,1
"59",1111203,1,0,1,0,0,0,1
"60",1111205,1,1,1,0,1,1,1
"61",1111207,1,0,1,0,0,0,1
"62",1111208,1,0,1,0,0,0,1
"63",1111209,1,0,1,0,1,0,1
"64",1111211,0,0,0,0,0,0,0
"65",1111212,1,0,1,0,0,0,1
"66",1111214,0,1,0,0,0,0,0
"67",1111218,1,0,1,0,0,0,1
"68",1111221,1,0,1,0,0,0,1
"69",1111222,1,1,1,1,1,1,1
"70",1111223,1,0,1,0,1,0,1
"71",1111225,1,0,1,0,0,0,1
"72",1111228,1,0,1,0,0,0,1
"73",1111229,0,1,0,0,1,0,1
"74",1111230,1,0,1,0,0,0,1
"75",1111232,1,1,0,0,0,0,0
"76",1111235,1,0,1,0,0,0,1
"77",1111238,1,0,1,0,0,0,1
"78",1111240,0,0,0,0,0,0,1
"79",1111241,1,0,1,0,0,0,1
"80",1111242,0,1,0,0,1,0,1
"81",1111243,1,1,1,0,1,0,1
"82",1111244,0,0,0,0,0,0,0
"83",1111245,1,1,1,1,1,1,1
"84",1111246,1,0,1,0,0,0,1
"85",1111249,1,0,1,0,0,0,1
"86",1111250,1,0,1,0,0,0,1
"87",1111251,0,0,1,0,0,0,0
"88",1111252,1,0,1,0,0,0,1
"89",1111253,1,0,1,0,0,0,1
"90",1111254,1,0,1,0,0,0,1
"91",1111255,1,0,1,0,0,0,0
"92",1111258,1,0,1,0,0,0,1
"93",1111259,0,0,1,0,0,0,0
"94",1111260,1,0,1,0,0,0,1
"95",1111261,1,0,1,0,0,0,1
"96",1111262,1,0,1,0,0,0,1
"97",1111263,1,0,1,0,0,0,1
"98",1111265,1,0,1,0,0,0,1
"99",1111268,1,1,1,1,1,1,1
"100",1111269,1,1,0,0,1,0,0
"101",1111270,1,1,1,1,1,0,1
"102",1111311,1,0,1,0,0,0,1
"103",1111313,1,0,1,0,1,0,1
"104",1111314,1,0,1,0,0,0,1
"105",1111316,1,1,0,0,0,0,0
"106",1111318,1,0,1,0,0,0,1
"107",1111322,1,0,1,0,0,1,1
"108",1111323,1,0,1,0,1,0,1
"109",1111329,1,0,1,0,0,0,1
"110",1111332,1,0,1,0,0,1,1
"111",1111333,1,0,1,0,0,1,1
"112",1111334,1,0,1,0,0,0,1
"113",1111345,0,0,0,0,0,0,0
"114",1111347,1,0,1,0,0,0,1
"115",1111349,1,0,1,0,0,0,1
"116",1111355,1,0,1,0,0,0,0
"117",1111356,0,0,0,0,0,0,0
"118",1111362,1,0,1,0,0,0,1
"119",1111363,1,0,1,0,0,0,0
"120",1111364,0,0,1,0,0,0,1
"121",1111369,1,0,1,0,0,0,1
"122",1111370,1,0,1,0,0,0,1
"123",1111371,1,0,1,0,1,0,1
"124",1111372,1,0,1,0,0,0,1
"125",1111374,1,0,1,0,0,0,0
"126",1111375,1,0,1,0,0,0,1
"127",1111376,0,1,0,0,0,0,0
"128",1111378,1,0,1,0,0,1,1
"129",1111379,1,1,1,0,0,1,1
"130",1111380,1,0,1,0,0,1,1
"131",1111382,1,0,1,0,0,0,1
"132",1111383,1,0,1,0,0,0,1
"133",1111384,1,1,1,0,1,0,1
"134",1111385,1,0,1,0,0,0,1
"135",1111386,1,0,1,0,0,0,1
"136",1111390,1,0,1,0,0,0,1
"137",1111393,1,0,1,0,0,0,1
"138",1111394,0,1,0,0,1,0,0
"139",1111395,1,0,1,0,0,0,1
"140",1111396,1,0,1,0,0,0,1
"141",1111397,1,1,1,0,1,0,1
"142",1111398,1,0,1,0,0,0,1
"143",1111399,1,0,1,0,0,0,1
"144",1111400,1,0,1,0,0,1,0
"145",1111401,0,1,0,0,0,0,0
"146",1111404,1,0,1,0,0,1,1
"147",1111405,1,0,1,0,0,0,1
"148",1111406,1,0,1,0,1,0,1
"149",1111407,1,0,1,0,0,0,1
"150",1111408,1,0,1,0,0,0,1
"151",1111410,1,0,1,0,0,0,1
"152",1111411,0,0,0,0,0,0,1
"153",1111415,1,0,1,0,0,0,0
"154",1111416,0,0,0,0,0,0,0
"155",1111417,1,0,1,0,0,0,1
"156",1111418,1,0,1,0,0,0,1
"157",1111419,1,0,1,0,0,0,1
"158",1111422,1,1,1,0,1,1,1
"159",1111423,1,0,1,0,0,0,1
"160",1111424,1,0,1,0,0,0,1
"161",1111425,1,0,1,0,0,0,1
"162",1111432,0,0,1,0,0,0,0
"163",1111435,1,0,1,0,0,0,1
"164",1111436,1,0,1,0,1,0,1
"165",1111442,1,1,1,0,0,0,1
"166",1111443,0,0,0,0,0,0,0
"167",1111446,1,0,1,0,0,0,1
"168",1111448,1,1,1,1,1,0,1
"169",1111453,1,1,1,0,1,1,1
"170",1111454,1,0,1,0,0,1,0
"171",1111455,1,1,1,0,0,0,1
"172",1112082,1,0,1,0,0,0,1
"173",1112084,1,0,1,0,1,1,1
"174",1112085,1,0,1,0,0,0,1
"175",1112086,1,0,1,0,0,0,1
"176",1112089,1,1,1,0,1,1,1
"177",1112090,1,0,1,0,0,0,1
"178",1112093,1,0,1,0,0,0,1
"179",1112099,1,0,1,0,0,0,1
"180",1112100,1,0,1,0,0,0,1
"181",1112101,1,0,1,0,0,0,0
"182",1112102,0,1,0,0,0,0,0
"183",1112103,1,1,1,1,1,1,1
"184",1112104,1,0,1,0,0,0,1
"185",1112106,1,0,1,0,0,0,0
"186",1112108,1,0,1,0,0,0,1
"187",1112110,1,1,1,1,1,1,1
"188",1112115,1,0,1,0,0,1,1
"189",1112116,1,1,1,0,1,0,1
"190",1112118,1,0,1,0,0,1,1
"191",1112124,1,0,1,0,0,0,1
"192",1112130,1,1,1,0,1,1,1
"193",1112133,1,0,1,0,1,0,1
"194",1112134,1,1,1,0,1,0,1
"195",1112138,0,0,1,0,0,0,0
"196",1112141,1,0,1,0,0,0,1
"197",1112143,1,0,1,0,0,0,1
"198",1112146,1,0,1,0,0,0,1
"199",1112149,1,1,1,0,0,1,1
"200",1112151,1,1,1,0,1,1,1
"201",1112152,1,0,1,0,0,1,1
"202",1112159,1,0,1,0,0,0,0
"203",1112160,1,0,1,0,0,0,1
"204",1112161,1,1,1,0,1,1,1
"205",1112162,1,1,0,0,1,0,1
"206",1112163,1,1,1,0,1,0,1
"207",1112165,1,0,1,0,0,0,1
"208",1112166,0,0,0,0,0,0,0
"209",1112167,1,0,1,0,0,0,1
"210",1112168,0,0,0,0,0,0,0
"211",1112170,1,1,1,0,1,1,1
"212",1112171,1,1,1,0,0,1,0
"213",1112172,1,0,1,0,0,0,1
"214",1112178,1,0,1,0,0,0,1
"215",1112180,1,0,1,0,0,0,1
"216",1112182,1,0,1,0,0,0,0
"217",1112183,1,1,1,0,1,1,1
"218",1112186,1,1,1,0,1,0,0
"219",1112188,1,0,1,0,0,0,1
"220",1112189,1,1,1,0,0,0,1
"221",1112192,0,0,0,0,0,0,0
"222",1112193,1,0,1,0,0,0,0
"223",1112194,1,0,1,0,0,0,1
"224",1112195,1,0,1,0,0,0,1
"225",1112197,1,0,1,0,0,1,1
"226",1112203,0,0,0,0,0,0,0
"227",1112208,1,0,1,0,0,0,1
"228",1112214,0,0,0,0,0,0,0
"229",1112216,1,0,1,0,0,0,0
"230",1112217,1,0,1,0,0,0,0
"231",1112221,1,0,1,0,0,0,1
"232",1112223,1,0,1,0,0,0,1
"233",1112224,0,0,0,0,0,0,0
"234",1112227,1,1,1,0,1,0,1
"235",1112229,1,0,1,0,0,0,1
"236",1112230,1,0,1,0,0,0,1
"237",1112231,1,0,1,0,0,1,1
"238",1112232,1,0,1,0,0,0,1
"239",1112238,1,0,1,0,0,0,1
"240",1112239,1,1,1,0,1,1,1
"241",1112241,1,0,1,0,0,0,1
"242",1112242,1,0,1,0,0,0,0
"243",1112243,0,0,1,0,0,0,0
"244",1112246,1,1,1,0,1,0,1
"245",1112248,1,0,1,0,0,0,0
"246",1112250,1,0,1,0,0,0,1
"247",1112251,1,0,1,0,0,0,1
"248",1112253,1,0,1,0,0,0,1
"249",1112254,1,1,0,0,1,0,0
"250",1112256,1,0,1,0,0,0,1
"251",1112258,1,0,1,0,1,0,1
"252",1112259,1,0,1,0,0,0,1
"253",1112385,1,0,1,0,0,0,1
"254",1112386,1,0,1,0,0,1,1
"255",1112387,1,0,1,0,0,0,1
"256",1112388,1,0,1,0,0,0,1
"257",1112390,0,0,0,0,0,0,1
