"","id","X","region","takeup_survey","age","agpop","educ","rice_inc","ricearea_2010","disaster_loss","insurance_repay","insurance_buy","disaster_prob","general_trust","male","default","delay","intensive","info_takeup_rate","info_takeup_list","info_none","understanding","day","risk_averse","literacy","educ_good","reveal","disaster_yes","address","village","group","ricearea_2010_per_capita","membership","assignment"
"1",1111030,1,1,1,76,5,1,40,5,NA,0,0,50,1,1,1,1,0,1,0,0,0.80000001,3,0,1,0,NA,NA,52,12,2,1,7,4
"2",1111031,2,1,0,54,4,0,100,10,10,1,0,20,0,1,1,1,0,0,0,1,0,3,0,0,0,NA,1,52,12,4,2.5,7,4
"3",1111032,3,1,1,67,2,2,60,10,NA,0,0,30,1,1,1,1,1,0,0,1,0.80000001,3,0,1,1,NA,NA,52,12,3,5,7,4
"4",1111034,4,1,1,74,2,1,30,0.74,90,0,0,50,1,1,1,0,1,0,0,1,NA,1,0.39999998,1,0,0,1,52,12,1,0.37,7,4
"5",1111035,5,1,1,60,6,1,50,11,25,1,0,20,0,1,1,0,1,0,0,1,1,1,0.39999998,1,0,0,1,52,12,4,1.83333333333333,7,3
"6",1111036,6,1,0,56,6,1,90,13,NA,1,0,40,0,1,1,0,0,0,0,1,0.2,3,0,1,0,0,0,52,12,4,2.16666666666667,7,2
"7",1111038,7,1,1,61,13,1,30,4,NA,0,0,50,0,1,1,1,1,0,0,1,0.80000001,3,0,1,0,NA,0,52,12,2,0.307692307692308,7,3
"8",1111040,8,1,1,40,4,2,100,30,NA,1,0,20,0,1,1,1,1,0,1,0,0.60000002,3,0.19999999,1,1,NA,1,52,12,4,7.5,7,1
"9",1111041,9,1,0,63,3,1,70,2,NA,0,0,30,1,1,1,1,1,1,0,0,0,3,0,1,0,NA,0,52,12,1,0.666666666666667,7,3
"10",1111042,10,1,1,57,9,2,NA,1,NA,1,1,10,1,1,1,0,0,0,0,1,NA,1,0.60000002,1,1,1,0,52,12,2,0.111111111111111,7,2
"11",1111045,11,1,1,45,4,2,70,15,NA,0,0,50,1,1,1,1,0,0,0,1,1,3,0.2,1,1,NA,NA,52,12,4,3.75,7,4
"12",1111046,12,1,0,81,9,0,10,1,NA,1,1,40,1,0,1,0,1,0,0,1,0.80000001,1,0.60000002,0,0,NA,NA,52,12,2,0.111111111111111,7,1
"13",1111049,13,1,1,74,2,0,70,4.27,NA,0,1,50,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,52,12,3,2.135,7,3
"14",1111050,14,1,1,41,4,3,60,25,NA,1,1,20,0,1,1,1,1,1,0,0,0.40000001,3,0.39999998,1,1,NA,1,52,12,4,6.25,7,3
"15",1111053,15,1,0,71,14,0,20,2.3,NA,0,0,30,0,1,1,0,0,0,0,1,0,1,0.19999999,0,0,0,1,52,12,2,0.164285714285714,7,4
"16",1111054,16,1,1,70,7,1,40,3.8,NA,1,0,20,0,1,1,1,0,0,0,1,0.80000001,1,0,1,0,NA,NA,52,12,2,0.542857142857143,7,3
"17",1111055,17,1,1,76,4,1,40,5,NA,0,0,50,1,1,1,1,1,0,0,1,0.80000001,3,0.2,1,0,NA,NA,52,12,4,1.25,7,2
"18",1111123,18,1,1,61,5,0,60,5.49,NA,1,0,60,1,1,1,0,1,0,0,1,NA,1,1,0,0,0,0,53,12,7,1.098,7,4
"19",1111124,19,1,1,50,8,1,60,15,NA,0,1,30,1,1,1,0,0,0,0,1,NA,1,0,1,0,0,0,53,12,8,1.875,7,4
"20",1111125,20,1,1,59,7,0,80,4,NA,1,1,20,0,1,1,1,1,0,0,1,0,3,0,0,0,NA,0,53,12,6,0.571428571428571,7,4
"21",1111126,21,1,1,51,7,1,30,10,80,0,0,20,1,1,1,0,1,0,0,1,1,1,0.60000002,1,0,0,1,53,12,8,1.42857142857143,7,3
"22",1111127,22,1,0,52,4,1,100,8,NA,1,1,20,0,1,1,1,0,1,0,0,0.40000001,3,0,1,0,NA,0,53,12,7,2,7,3
"23",1111128,23,1,1,48,6,1,90,8,NA,0,0,50,1,1,1,1,0,0,0,1,0.2,3,0.39999998,1,0,NA,0,53,12,8,1.33333333333333,7,2
"24",1111130,24,1,1,64,6,2,20,4,NA,1,1,30,1,1,1,0,0,0,0,1,NA,1,0,1,1,0,1,53,12,6,0.666666666666667,7,3
"25",1111131,25,1,0,72,12,0,100,4.55,NA,0,0,50,1,1,1,1,1,0,0,1,0.40000001,3,0,0,0,NA,0,53,12,6,0.379166666666667,7,2
"26",1111133,26,1,1,48,7,1,NA,4.5,NA,1,1,20,0,1,1,1,0,0,0,1,1,3,0,1,0,NA,0,53,12,6,0.642857142857143,7,1
