"","id","region","takeup_survey","age","agpop","educ","rice_inc","ricearea_2010","disaster_loss","insurance_repay","insurance_buy","disaster_prob","general_trust","male","default","delay","intensive","info_takeup_rate","info_takeup_list","info_none","understanding","day","risk_averse","literacy","educ_good","reveal","disaster_yes","address","village"
"16",11122033,1,0,33,4,1,70,10,NA,0,0,50,1,1,1,1,1,0,0,1,0.2,15,0,1,0,NA,0,3,2
"19",11122001,1,0,64,3,0,100,23,10,0,0,50,0,1,1,1,0,0,0,1,0.2,15,0,0,0,NA,1,3,2
"21",11122039,1,0,76,6,1,100,5,NA,1,1,20,1,1,1,1,1,0,0,1,0.2,15,0,1,0,NA,0,3,2
"28",11122027,1,0,42,4,1,100,26,20,0,1,40,1,1,1,1,1,0,0,1,0.40000001,15,0,1,0,NA,1,3,2
"33",11122030,1,0,42,4,2,75,15,30,0,1,20,1,1,1,1,0,0,0,1,0.2,15,0,1,1,NA,1,3,2
"38",11122031,1,0,34,3,1,100,13,NA,0,0,30,1,1,1,1,1,0,0,1,0.2,15,0,1,0,NA,0,3,2
"41",11122041,1,0,59,4,1,100,26,10,0,0,30,1,1,1,1,0,0,0,1,1,15,0.80000001,1,0,NA,1,3,2
"51",11122107,1,1,40,5,1,100,32,20,0,0,50,1,1,0,1,1,0,0,1,0.80000001,15,0,1,0,NA,1,4,2
"52",11122103,1,0,64,4,0,100,5.2,NA,0,0,50,1,1,0,1,0,0,0,1,0.2,15,0,0,0,NA,0,4,2
"56",11122098,1,1,49,6,1,90,7,NA,1,1,20,1,1,0,1,0,0,0,1,0.60000002,15,0,1,0,NA,0,4,2
"60",11122088,1,0,40,4,1,100,28,NA,0,1,20,0,1,0,1,1,0,0,1,0.2,15,0,1,0,NA,1,4,2
"63",11122076,1,0,41,4,1,100,36,NA,0,1,20,1,1,0,1,0,0,0,1,0.40000001,15,0,1,0,NA,1,4,2
"64",11116026,1,0,46,4,1,NA,6,NA,0,1,0,1,1,0,1,1,0,0,1,0.40000001,23,0,1,0,NA,0,6,3
"66",11116004,1,1,68,5,1,60,10,NA,0,0,50,1,1,0,1,1,0,0,1,0.80000001,23,0.2,1,0,NA,NA,6,3
"70",11116013,1,0,59,7,1,20,5,NA,0,1,0,1,1,0,1,0,0,0,1,1,23,0,1,0,NA,0,6,3
"71",11116034,1,1,41,5,1,100,100,NA,0,0,50,1,1,0,1,1,0,0,1,0.2,23,0.39999998,1,0,NA,1,6,3
"73",11116036,1,0,58,6,1,30,3,NA,0,1,40,1,1,0,1,1,0,0,1,0.60000002,23,0,1,0,NA,0,6,3
"74",11116042,1,1,41,4,2,20,8,NA,1,1,40,1,1,0,1,0,0,0,1,1,23,0.80000001,1,1,NA,0,6,3
"81",11116040,1,1,41,4,1,100,60,NA,0,0,50,1,1,0,1,0,0,0,1,0.2,23,0.39999998,1,0,NA,1,6,3
"85",11116003,1,0,82,3,0,100,1.4,NA,0,1,40,1,1,0,1,1,0,0,1,0.40000001,23,0,0,0,NA,0,6,3
"87",11116050,1,0,42,9,1,95,14,NA,1,1,0,0,1,1,1,1,0,0,1,1,21,0,1,0,NA,0,7,3
"89",11116052,1,0,59,1,1,90,11,25,0,1,0,1,1,1,1,1,0,0,1,0.2,21,0,1,0,NA,1,7,3
"93",11116070,1,0,38,5,1,30,4,NA,0,0,50,1,1,1,1,1,0,0,1,0.2,21,0.60000002,1,0,NA,0,7,3
"95",11116077,1,0,50,5,1,100,27,NA,1,1,10,1,1,1,1,1,0,0,1,0.40000001,21,1,1,0,NA,1,7,3
"97",11116078,1,0,47,4,2,100,40,5,0,1,20,1,1,1,1,0,0,0,1,0.60000002,21,0.19999999,1,1,NA,1,7,3
"98",11116048,1,0,46,3,1,80,13.8,NA,1,1,50,1,1,1,1,0,0,0,1,0.2,21,0.39999998,1,0,NA,0,7,3
"102",11116049,1,1,63,2,0,40,4,20,1,1,40,1,1,1,1,1,0,0,1,0.2,21,0,0,0,NA,1,7,3
"106",11116124,1,0,45,7,1,100,50,NA,0,0,30,1,1,1,1,1,0,0,1,0.40000001,23,0,1,0,NA,1,8,3
"108",11116109,1,0,36,3,1,50,9,NA,0,0,30,1,1,1,1,1,0,0,1,0.40000001,23,0.80000001,1,0,NA,0,8,3
"113",11116102,1,1,43,5,4,80,7.5,NA,1,0,0,1,1,1,1,1,0,0,1,0.60000002,23,0,1,1,NA,0,8,3
