"","id","region","takeup_survey","age","agpop","educ","rice_inc","ricearea_2010","disaster_loss","insurance_repay","insurance_buy","disaster_prob","general_trust","male","default","delay","intensive","info_takeup_rate","info_takeup_list","info_none","understanding","day","risk_averse","literacy","educ_good","reveal","disaster_yes","address","village"
"1",1111031,1,0,54,4,0,100,10,10,1,0,20,0,1,1,1,0,0,0,1,0,3,0,0,0,NA,1,52,12
"2",1111032,1,1,67,2,2,60,10,NA,0,0,30,1,1,1,1,1,0,0,1,0.80000001,3,0,1,1,NA,NA,52,12
"3",1111034,1,1,74,2,1,30,0.74,90,0,0,50,1,1,1,0,1,0,0,1,NA,1,0.39999998,1,0,0,1,52,12
"4",1111035,1,1,60,6,1,50,11,25,1,0,20,0,1,1,0,1,0,0,1,1,1,0.39999998,1,0,0,1,52,12
"5",1111036,1,0,56,6,1,90,13,NA,1,0,40,0,1,1,0,0,0,0,1,0.2,3,0,1,0,0,0,52,12
"6",1111038,1,1,61,13,1,30,4,NA,0,0,50,0,1,1,1,1,0,0,1,0.80000001,3,0,1,0,NA,0,52,12
"7",1111040,1,1,40,4,2,100,30,NA,1,0,20,0,1,1,1,1,0,1,0,0.60000002,3,0.19999999,1,1,NA,1,52,12
"8",1111041,1,0,63,3,1,70,2,NA,0,0,30,1,1,1,1,1,1,0,0,0,3,0,1,0,NA,0,52,12
"9",1111042,1,1,57,9,2,NA,1,NA,1,1,10,1,1,1,0,0,0,0,1,NA,1,0.60000002,1,1,1,0,52,12
"10",1111045,1,1,45,4,2,70,15,NA,0,0,50,1,1,1,1,0,0,0,1,1,3,0.2,1,1,NA,NA,52,12
"11",1111049,1,1,74,2,0,70,4.27,NA,0,1,50,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,52,12
"12",1111050,1,1,41,4,3,60,25,NA,1,1,20,0,1,1,1,1,1,0,0,0.40000001,3,0.39999998,1,1,NA,1,52,12
"13",1111053,1,0,71,14,0,20,2.3,NA,0,0,30,0,1,1,0,0,0,0,1,0,1,0.19999999,0,0,0,1,52,12
"14",1111054,1,1,70,7,1,40,3.8,NA,1,0,20,0,1,1,1,0,0,0,1,0.80000001,1,0,1,0,NA,NA,52,12
"15",1111055,1,1,76,4,1,40,5,NA,0,0,50,1,1,1,1,1,0,0,1,0.80000001,3,0.2,1,0,NA,NA,52,12
"16",1111123,1,1,61,5,0,60,5.49,NA,1,0,60,1,1,1,0,1,0,0,1,NA,1,1,0,0,0,0,53,12
"17",1111125,1,1,59,7,0,80,4,NA,1,1,20,0,1,1,1,1,0,0,1,0,3,0,0,0,NA,0,53,12
"18",1111126,1,1,51,7,1,30,10,80,0,0,20,1,1,1,0,1,0,0,1,1,1,0.60000002,1,0,0,1,53,12
"19",1111127,1,0,52,4,1,100,8,NA,1,1,20,0,1,1,1,0,1,0,0,0.40000001,3,0,1,0,NA,0,53,12
"20",1111128,1,1,48,6,1,90,8,NA,0,0,50,1,1,1,1,0,0,0,1,0.2,3,0.39999998,1,0,NA,0,53,12
"21",1111130,1,1,64,6,2,20,4,NA,1,1,30,1,1,1,0,0,0,0,1,NA,1,0,1,1,0,1,53,12
"22",1111131,1,0,72,12,0,100,4.55,NA,0,0,50,1,1,1,1,1,0,0,1,0.40000001,3,0,0,0,NA,0,53,12
"23",1111133,1,1,48,7,1,NA,4.5,NA,1,1,20,0,1,1,1,0,0,0,1,1,3,0,1,0,NA,0,53,12
"24",1111136,1,0,56,7,1,90,5,50,0,0,30,0,1,1,1,0,0,0,1,0,3,0.39999998,1,0,NA,1,53,12
"25",1111140,1,1,65,6,2,100,4.5,NA,1,1,20,1,1,1,1,1,1,0,0,0,3,0,1,1,NA,NA,53,12
"26",1111144,1,1,45,4,1,90,7.5,NA,0,0,50,1,1,1,1,1,1,0,0,0.2,3,0,1,0,NA,0,53,12
"27",1111146,1,0,43,5,2,80,3,NA,1,1,40,0,1,1,1,0,1,0,0,0.40000001,3,0,1,1,NA,0,53,12
"28",1111147,1,1,46,4,1,30,4.4,50,0,0,20,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,53,12
"29",1111148,1,1,62,2,1,100,2.73,30,0,0,20,1,1,1,1,0,0,1,0,0.80000001,3,0,1,0,NA,1,53,12
"30",1111151,1,0,43,3,1,80,14.8,NA,0,0,30,1,1,1,0,0,0,0,1,0,2,0,1,0,0,0,55,12
"31",1111154,1,1,62,6,1,60,5.88,NA,1,1,30,1,1,1,1,0,0,0,1,0.40000001,6,0.19999999,1,0,NA,0,55,12
"32",1111155,1,0,53,4,1,100,8,NA,0,0,50,1,1,1,1,1,1,0,0,0,6,0.39999998,1,0,NA,0,55,12
"33",1111161,1,1,56,7,1,100,5.8,30,1,1,40,0,1,1,0,0,0,0,1,0.2,2,0.39999998,1,0,0,1,55,12
"34",1111162,1,1,60,6,1,90,8.5,20,0,1,0,0,1,1,0,0,0,0,1,NA,2,0,1,0,0,1,55,12
"35",1111163,1,1,60,5,1,90,5,30,1,1,20,0,1,1,0,0,0,0,1,0.60000002,2,1,1,0,0,1,55,12
"36",1111164,1,1,54,4,1,100,4.1,NA,0,0,30,1,1,1,0,1,0,0,1,0.60000002,2,0.39999998,1,0,0,0,55,12
"37",1111165,1,1,53,4,1,100,4.1,50,1,0,20,1,1,1,0,0,0,0,1,0,2,0,1,0,1,1,55,12
"38",1111166,1,1,44,4,2,100,4.1,10,0,0,50,1,1,1,1,0,1,0,0,1,6,0,1,1,NA,1,55,12
"39",1111169,1,1,73,4,2,100,5.8,70,1,0,30,1,1,1,0,1,0,0,1,0.2,2,0,1,1,1,1,55,12
"40",1111170,1,1,60,6,1,20,6,30,0,0,50,1,1,1,1,0,0,0,1,0.60000002,6,0,1,0,NA,1,55,12
"41",1111171,1,0,71,12,4,100,14,30,1,1,0,1,1,1,1,1,0,0,1,0,6,0,1,1,NA,1,55,12
"42",1111174,1,1,44,6,1,90,17,30,1,0,20,1,1,1,1,0,0,0,1,0.60000002,6,0,1,0,NA,1,55,12
"43",1111175,1,0,50,4,1,80,5.3,30,0,0,50,0,1,1,0,1,0,0,1,0,2,0.19999999,1,0,0,1,55,12
"44",1111176,1,1,59,6,1,70,5,NA,0,0,40,0,1,1,1,1,1,0,0,0,6,0,1,0,NA,0,55,12
"45",1111177,1,1,47,5,1,100,9,50,0,0,50,0,1,1,1,1,0,0,1,1,6,0.19999999,1,0,NA,1,55,12
"46",1111178,1,1,77,6,1,100,14.2,NA,1,1,30,1,1,1,1,0,0,0,1,0.60000002,6,0.19999999,1,0,NA,0,55,12
"47",1111179,1,0,34,10,2,NA,5,60,0,0,30,1,1,1,1,0,0,1,0,0.2,6,0,1,1,NA,1,55,12
"48",1111184,1,1,43,4,2,40,5,10,1,0,10,1,1,1,0,1,0,0,1,0.2,2,1,1,1,0,1,55,12
"49",1111185,1,1,65,6,1,25,6.5,30,0,0,50,1,1,1,0,1,0,0,1,0.80000001,2,0,1,0,0,1,55,12
"50",1111186,1,0,61,5,1,60,4,NA,1,1,30,1,1,1,1,1,0,0,1,0.60000002,6,0,1,0,NA,0,55,12
"51",1111187,1,1,45,5,3,80,32,NA,0,0,50,1,1,1,0,0,0,0,1,0.2,2,1,1,1,0,0,55,12
"52",1111190,1,1,70,6,0,80,20,NA,1,0,20,1,1,1,0,0,0,0,1,NA,2,0,0,0,1,0,55,12
"53",1111191,1,0,43,5,0,60,5.93,NA,0,0,30,1,0,1,0,0,0,0,1,0,2,0.19999999,0,0,NA,0,55,12
"54",1111194,1,1,54,5,1,100,6,20,1,0,20,1,1,1,0,1,0,0,1,0,2,0,1,0,0,1,55,12
"55",1111196,1,0,46,4,1,NA,6.3,40,0,0,50,1,1,1,1,0,0,1,0,0.40000001,6,0,1,0,NA,1,55,12
"56",1111197,1,0,41,4,2,60,3.8,NA,1,0,40,1,1,1,0,1,0,0,1,0,2,0,1,1,0,0,55,12
"57",1111201,1,0,58,4,0,60,1.5,NA,0,0,30,1,1,1,1,1,0,0,1,0.60000002,6,0,0,0,NA,0,55,12
"58",1111202,1,1,53,10,1,100,8,20,1,0,20,1,1,1,0,1,0,0,1,0.2,2,0,1,0,0,1,55,12
"59",1111203,1,0,49,5,1,90,12,30,0,0,30,1,1,1,1,1,0,0,1,1,6,0,1,0,NA,1,55,12
"60",1111205,1,0,54,7,1,90,10,40,1,0,20,1,1,1,1,1,0,0,1,0,6,0,1,0,NA,1,55,12
"61",1111207,1,0,55,5,1,NA,7,60,0,0,50,1,1,1,1,0,0,1,0,0.60000002,6,0,1,0,NA,1,55,12
"62",1111208,1,0,55,6,2,100,4.5,20,1,0,40,0,1,1,0,1,0,0,1,0.2,2,1,1,1,0,1,55,12
"63",1111209,1,0,73,10,0,100,3,NA,0,0,30,1,1,1,1,1,0,0,1,0.60000002,6,0,0,0,NA,0,55,12
"64",1111211,1,1,39,4,2,100,1.48,40,1,0,20,1,1,1,0,0,0,0,1,0,2,0,1,1,0,1,56,12
"65",1111212,1,0,37,4,1,15,1,NA,0,0,30,1,1,1,1,0,0,1,0,1,6,0,1,0,NA,0,56,12
"66",1111214,1,1,37,4,1,NA,2.4,NA,1,0,0,1,1,1,0,1,0,0,1,NA,2,0.39999998,1,0,0,0,56,12
"67",1111218,1,1,55,10,1,40,4.9,20,1,0,40,1,1,1,0,0,0,0,1,0,2,0,1,0,NA,1,56,12
"68",1111221,1,1,61,6,3,30,4,NA,0,0,50,1,1,1,1,0,1,0,0,0.40000001,6,0,1,1,NA,0,56,12
"69",1111222,1,1,66,2,1,60,3,50,1,0,20,0,1,1,0,0,0,0,1,0.60000002,2,1,1,0,1,1,56,12
"70",1111223,1,1,58,5,1,40,3,50,0,0,30,1,0,1,1,0,1,0,0,1,6,0,1,0,NA,1,56,12
"71",1111225,1,1,63,8,1,NA,3.4,NA,1,0,30,1,1,1,0,1,0,0,1,0.2,2,0,1,0,0,NA,56,12
"72",1111228,1,1,46,5,2,70,15,NA,0,0,50,1,1,1,1,1,0,1,0,1,6,0,1,1,NA,NA,56,12
"73",1111229,1,0,34,5,1,30,2,NA,0,1,0,1,1,1,1,1,0,0,1,0.40000001,6,1,1,0,NA,0,56,12
"74",1111230,1,0,68,10,0,40,3.8,90,0,0,50,1,1,1,1,1,0,0,1,1,6,0,0,0,NA,1,56,12
"75",1111232,1,1,46,3,3,100,15,10,1,0,0,1,1,1,0,1,0,0,1,0.2,2,0,1,1,0,1,56,12
"76",1111235,1,1,46,5,2,90,5,20,0,0,30,1,1,1,0,1,0,0,1,0.80000001,2,0,1,1,0,1,56,12
"77",1111238,1,0,52,5,1,100,3.7,NA,0,0,20,0,1,1,1,1,1,0,0,0.60000002,6,0,1,0,NA,0,56,12
"78",1111240,1,1,68,11,1,30,5,65,0,0,20,1,1,1,0,0,0,0,1,0,2,0,1,0,1,1,56,12
"79",1111241,1,1,60,4,0,90,1.8,20,0,0,50,0,1,1,0,1,0,0,1,0.80000001,2,0,0,0,1,1,56,12
"80",1111242,1,0,72,10,0,100,0.9,NA,1,1,10,1,1,1,1,0,0,0,1,0.60000002,6,0,0,0,NA,0,56,12
"81",1111243,1,0,66,11,1,60,15,NA,0,0,0,1,1,1,1,1,0,0,1,0.60000002,6,0,1,0,NA,0,56,12
"82",1111244,1,1,48,6,1,100,5.8,30,1,0,20,1,1,1,0,0,0,0,1,0.80000001,2,0,1,0,0,1,56,12
"83",1111245,1,0,74,4,0,100,24,NA,0,0,10,1,1,1,1,1,0,0,1,0.2,6,0.39999998,0,0,NA,1,56,12
"84",1111246,1,0,39,5,1,40,1.98,NA,0,0,40,1,1,1,1,0,1,0,0,0.2,6,0.39999998,1,0,NA,0,56,12
"85",1111249,1,1,54,3,1,70,7,NA,0,0,50,1,1,1,1,1,0,0,1,1,6,0,1,0,NA,0,56,12
