	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey
												
network_rate_preintensive		0.291***	0.278***	0.444***				0.291***	0.278***	0.444***		
		(0.0820)	(0.0845)	(0.109)				(0.0820)	(0.0845)	(0.109)		
male	0.0407	0.0157		0.0186	0.0292	0.0481	0.0407	0.0157		0.0186	0.0292	0.0481
	(0.0475)	(0.0738)		(0.0741)	(0.0730)	(0.0417)	(0.0475)	(0.0738)		(0.0741)	(0.0730)	(0.0417)
age	0.00177*	0.00450***		0.00459***	0.00462***	0.00234**	0.00177*	0.00450***		0.00459***	0.00462***	0.00234**
	(0.00107)	(0.00121)		(0.00121)	(0.00123)	(0.000913)	(0.00107)	(0.00121)		(0.00121)	(0.00123)	(0.000913)
agpop	-0.00294	-0.0102		-0.0103	-0.00838	-0.00448	-0.00294	-0.0102		-0.0103	-0.00838	-0.00448
	(0.00518)	(0.00687)		(0.00684)	(0.00685)	(0.00488)	(0.00518)	(0.00687)		(0.00684)	(0.00685)	(0.00488)
ricearea_2010	0.000789	0.00431***		0.00434***	0.00443***	0.00115	0.000789	0.00431***		0.00434***	0.00443***	0.00115
	(0.000754)	(0.00103)		(0.00103)	(0.00103)	(0.000772)	(0.000754)	(0.00103)		(0.00103)	(0.00103)	(0.000772)
literacy	0.0832***	0.0874***		0.0872***	0.0901***	0.0626***	0.0832***	0.0874***		0.0872***	0.0901***	0.0626***
	(0.0269)	(0.0327)		(0.0326)	(0.0327)	(0.0225)	(0.0269)	(0.0327)		(0.0326)	(0.0327)	(0.0225)
intensive	0.141***	0.0298	0.0256	0.0809**	0.0936**	0.140***	0.141***	0.0298	0.0256	0.0809**	0.0936**	0.140***
	(0.0260)	(0.0332)	(0.0331)	(0.0397)	(0.0419)	(0.0259)	(0.0260)	(0.0332)	(0.0331)	(0.0397)	(0.0419)	(0.0259)
risk_averse		0.109**		0.105**	0.104**	0.0720**		0.109**		0.105**	0.104**	0.0720**
		(0.0490)		(0.0488)	(0.0493)	(0.0306)		(0.0490)		(0.0488)	(0.0493)	(0.0306)
disaster_prob		0.00194**		0.00192**	0.00170**	0.000167		0.00194**		0.00192**	0.00170**	0.000167
		(0.000801)		(0.000801)	(0.000812)	(0.000587)		(0.000801)		(0.000801)	(0.000812)	(0.000587)
o.friend1		-	-	-	-			-	-	-	-	
												
o.friend2		-		-	-			-		-	-	
												
friend3		0.121		0.122	0.0640			0.121		0.122	0.0640	
		(0.224)		(0.239)	(0.236)			(0.224)		(0.239)	(0.236)	
friend4		0.181	0.0672	0.178	0.0958			0.181	0.0672	0.178	0.0958	
		(0.129)	(0.237)	(0.147)	(0.131)			(0.129)	(0.237)	(0.147)	(0.131)	
friend5		0.320***	0.192	0.315***	0.219***			0.320***	0.192	0.315***	0.219***	
		(0.0649)	(0.230)	(0.0938)	(0.0712)			(0.0649)	(0.230)	(0.0938)	(0.0712)	
_Ivilid_2	-0.412***	-0.462***	-0.517***	-0.448***	-0.411***	-0.419***	-0.412***	-0.462***	-0.517***	-0.448***	-0.411***	-0.419***
	(0.106)	(0.143)	(0.145)	(0.145)	(0.135)	(0.120)	(0.106)	(0.143)	(0.145)	(0.145)	(0.135)	(0.120)
_Ivilid_3	-0.194***	-0.299***	-0.335***	-0.285***	-0.249***	-0.227***	-0.194***	-0.299***	-0.335***	-0.285***	-0.249***	-0.227***
	(0.0322)	(0.0652)	(0.0929)	(0.0647)	(0.0652)	(0.0590)	(0.0322)	(0.0652)	(0.0929)	(0.0647)	(0.0652)	(0.0590)
_Ivilid_4	-0.242***	-0.158***	-0.292***	-0.135**	-0.101	-0.273***	-0.242***	-0.158***	-0.292***	-0.135**	-0.101	-0.273***
	(0.0366)	(0.0550)	(0.0884)	(0.0561)	(0.0649)	(0.0596)	(0.0366)	(0.0550)	(0.0884)	(0.0561)	(0.0649)	(0.0596)
o._Ivilid_5		-	-	-	-			-	-	-	-	
												
_Ivilid_6	0.233***	0.0564	-0.0698	0.0817	0.130	0.171***	0.233***	0.0564	-0.0698	0.0817	0.130	0.171***
	(0.0272)	(0.147)	(0.199)	(0.155)	(0.153)	(0.0378)	(0.0272)	(0.147)	(0.199)	(0.155)	(0.153)	(0.0378)
_Ivilid_7	-0.260***	-0.130*	-0.238***	-0.109	-0.0662	-0.278***	-0.260***	-0.130*	-0.238***	-0.109	-0.0662	-0.278***
	(0.0585)	(0.0732)	(0.0898)	(0.0729)	(0.0717)	(0.0426)	(0.0585)	(0.0732)	(0.0898)	(0.0729)	(0.0717)	(0.0426)
_Ivilid_8	-0.235**	-0.0961	-0.142	-0.0828	-0.0156	-0.192*	-0.235**	-0.0961	-0.142	-0.0828	-0.0156	-0.192*
	(0.0956)	(0.0791)	(0.0995)	(0.0813)	(0.0845)	(0.103)	(0.0956)	(0.0791)	(0.0995)	(0.0813)	(0.0845)	(0.103)
_Ivilid_9	-0.256***	-0.213	-0.335**	-0.206	-0.142	-0.241**	-0.256***	-0.213	-0.335**	-0.206	-0.142	-0.241**
	(0.0970)	(0.140)	(0.148)	(0.136)	(0.140)	(0.106)	(0.0970)	(0.140)	(0.148)	(0.136)	(0.140)	(0.106)
_Ivilid_10	-0.285**	-0.130	-0.0789	-0.108	-0.0552	-0.151	-0.285**	-0.130	-0.0789	-0.108	-0.0552	-0.151
	(0.116)	(0.0835)	(0.0689)	(0.0846)	(0.104)	(0.0994)	(0.116)	(0.0835)	(0.0689)	(0.0846)	(0.104)	(0.0994)
_Ivilid_11	-0.129	-0.207***	-0.309***	-0.191***	-0.131*	-0.169***	-0.129	-0.207***	-0.309***	-0.191***	-0.131*	-0.169***
	(0.0834)	(0.0647)	(0.0843)	(0.0655)	(0.0696)	(0.0513)	(0.0834)	(0.0647)	(0.0843)	(0.0655)	(0.0696)	(0.0513)
_Ivilid_12	0.0230	-0.0153	-0.117	0.000752	0.0458	-0.00117	0.0230	-0.0153	-0.117	0.000752	0.0458	-0.00117
	(0.113)	(0.104)	(0.121)	(0.103)	(0.109)	(0.0957)	(0.113)	(0.104)	(0.121)	(0.103)	(0.109)	(0.0957)
_Ivilid_13	0.000933	-0.0522	-0.122	-0.0391	-0.00822	-0.00600	0.000933	-0.0522	-0.122	-0.0391	-0.00822	-0.00600
	(0.0830)	(0.0645)	(0.107)	(0.0651)	(0.0661)	(0.0792)	(0.0830)	(0.0645)	(0.107)	(0.0651)	(0.0661)	(0.0792)
_Ivilid_14	-0.154	-0.300***	-0.354***	-0.281***	-0.236***	-0.222***	-0.154	-0.300***	-0.354***	-0.281***	-0.236***	-0.222***
	(0.105)	(0.0844)	(0.105)	(0.0863)	(0.0897)	(0.0819)	(0.105)	(0.0844)	(0.105)	(0.0863)	(0.0897)	(0.0819)
_Ivilid_15	0.116*	0.125	0.0423	0.145	0.209*	0.106	0.116*	0.125	0.0423	0.145	0.209*	0.106
	(0.0674)	(0.108)	(0.123)	(0.0990)	(0.115)	(0.0823)	(0.0674)	(0.108)	(0.123)	(0.0990)	(0.115)	(0.0823)
_Ivilid_16	-0.500***	-0.0233	-0.0596	-0.00552	0.0398	-0.426***	-0.500***	-0.0233	-0.0596	-0.00552	0.0398	-0.426***
	(0.0112)	(0.0225)	(0.0602)	(0.0238)	(0.0343)	(0.0154)	(0.0112)	(0.0225)	(0.0602)	(0.0238)	(0.0343)	(0.0154)
_Ivilid_17	-0.407***	-0.306***	-0.372***	-0.285***	-0.241***	-0.394***	-0.407***	-0.306***	-0.372***	-0.285***	-0.241***	-0.394***
	(0.0673)	(0.0639)	(0.0892)	(0.0637)	(0.0640)	(0.0640)	(0.0673)	(0.0639)	(0.0892)	(0.0637)	(0.0640)	(0.0640)
_Ivilid_18	-0.0584	-0.0602	-0.110	-0.0299	0.0209	-0.0940	-0.0584	-0.0602	-0.110	-0.0299	0.0209	-0.0940
	(0.146)	(0.169)	(0.171)	(0.177)	(0.172)	(0.0735)	(0.146)	(0.169)	(0.171)	(0.177)	(0.172)	(0.0735)
_Ivilid_19	-0.292***	-0.340***	-0.372***	-0.319***	-0.282***	-0.305***	-0.292***	-0.340***	-0.372***	-0.319***	-0.282***	-0.305***
	(0.0701)	(0.0796)	(0.0945)	(0.0773)	(0.0794)	(0.0617)	(0.0701)	(0.0796)	(0.0945)	(0.0773)	(0.0794)	(0.0617)
_Ivilid_20	-0.132	-0.0364	-0.124	-0.0211	0.0190	-0.137	-0.132	-0.0364	-0.124	-0.0211	0.0190	-0.137
	(0.123)	(0.0904)	(0.107)	(0.0909)	(0.0930)	(0.105)	(0.123)	(0.0904)	(0.107)	(0.0909)	(0.0930)	(0.105)
_Ivilid_21	-0.246***	-0.255***	-0.320***	-0.240***	-0.207***	-0.284***	-0.246***	-0.255***	-0.320***	-0.240***	-0.207***	-0.284***
	(0.0580)	(0.0780)	(0.0933)	(0.0762)	(0.0691)	(0.0444)	(0.0580)	(0.0780)	(0.0933)	(0.0762)	(0.0691)	(0.0444)
_Ivilid_22	-0.285*	-0.191*	-0.271**	-0.167	-0.118	-0.285**	-0.285*	-0.191*	-0.271**	-0.167	-0.118	-0.285**
	(0.169)	(0.114)	(0.137)	(0.111)	(0.113)	(0.132)	(0.169)	(0.114)	(0.137)	(0.111)	(0.113)	(0.132)
o._Ivilid_23		-	-	-	-			-	-	-	-	
												
_Ivilid_24	-0.118*	-0.101	-0.178	-0.0810	-0.0175	-0.128	-0.118*	-0.101	-0.178	-0.0810	-0.0175	-0.128
	(0.0655)	(0.138)	(0.152)	(0.134)	(0.141)	(0.103)	(0.0655)	(0.138)	(0.152)	(0.134)	(0.141)	(0.103)
_Ivilid_25	0.0229	0.113	0.0629	0.130	0.186	0.0360	0.0229	0.113	0.0629	0.130	0.186	0.0360
	(0.0748)	(0.155)	(0.165)	(0.154)	(0.154)	(0.0491)	(0.0748)	(0.155)	(0.165)	(0.154)	(0.154)	(0.0491)
_Ivilid_26	0.0943	-0.131***	-0.245***	-0.114***	-0.0936**	0.0206	0.0943	-0.131***	-0.245***	-0.114***	-0.0936**	0.0206
	(0.112)	(0.0352)	(0.0736)	(0.0381)	(0.0415)	(0.0998)	(0.112)	(0.0352)	(0.0736)	(0.0381)	(0.0415)	(0.0998)
o._Ivilid_27		-		-	-			-		-	-	
												
_Ivilid_28	0.0683	-0.0402	-0.150	-0.0184	0.0322	0.0218	0.0683	-0.0402	-0.150	-0.0184	0.0322	0.0218
	(0.0835)	(0.0813)	(0.107)	(0.0778)	(0.0840)	(0.0717)	(0.0835)	(0.0813)	(0.107)	(0.0778)	(0.0840)	(0.0717)
_Ivilid_29	-0.382***	-0.327***	-0.372***	-0.308***	-0.271***	-0.365***	-0.382***	-0.327***	-0.372***	-0.308***	-0.271***	-0.365***
	(0.0797)	(0.0839)	(0.111)	(0.0859)	(0.0926)	(0.0645)	(0.0797)	(0.0839)	(0.111)	(0.0859)	(0.0926)	(0.0645)
_Ivilid_30	-0.272***	-0.228	-0.357**	-0.212	-0.160	-0.294***	-0.272***	-0.228	-0.357**	-0.212	-0.160	-0.294***
	(0.0871)	(0.142)	(0.161)	(0.141)	(0.143)	(0.0739)	(0.0871)	(0.142)	(0.161)	(0.141)	(0.143)	(0.0739)
_Ivilid_31	0.0914***	-0.199***	-0.314***	-0.186***	-0.147***	-0.000278	0.0914***	-0.199***	-0.314***	-0.186***	-0.147***	-0.000278
	(0.0185)	(0.0151)	(0.0595)	(0.0160)	(0.0227)	(0.0199)	(0.0185)	(0.0151)	(0.0595)	(0.0160)	(0.0227)	(0.0199)
_Ivilid_32	0.245**	0.0698		0.0843	0.154*	0.203**	0.245**	0.0698		0.0843	0.154*	0.203**
	(0.109)	(0.0871)		(0.0909)	(0.0892)	(0.0874)	(0.109)	(0.0871)		(0.0909)	(0.0892)	(0.0874)
_Ivilid_33	0.0921	-0.0325	-0.0895	-0.00398	0.0480	0.0850	0.0921	-0.0325	-0.0895	-0.00398	0.0480	0.0850
	(0.136)	(0.0426)	(0.0642)	(0.0366)	(0.0417)	(0.117)	(0.136)	(0.0426)	(0.0642)	(0.0366)	(0.0417)	(0.117)
_Ivilid_34	-0.261	-0.0451	-0.150	-0.0392	-0.0134	-0.309**	-0.261	-0.0451	-0.150	-0.0392	-0.0134	-0.309**
	(0.220)	(0.209)	(0.206)	(0.215)	(0.225)	(0.135)	(0.220)	(0.209)	(0.206)	(0.215)	(0.225)	(0.135)
_Ivilid_35	-0.174***	-0.374***	-0.405***	-0.354***	-0.301***	-0.220***	-0.174***	-0.374***	-0.405***	-0.354***	-0.301***	-0.220***
	(0.0144)	(0.0186)	(0.0660)	(0.0208)	(0.0339)	(0.0127)	(0.0144)	(0.0186)	(0.0660)	(0.0208)	(0.0339)	(0.0127)
_Ivilid_36	-0.183***	-0.360***	-0.446***	-0.335***	-0.302***	-0.208***	-0.183***	-0.360***	-0.446***	-0.335***	-0.302***	-0.208***
	(0.0427)	(0.0977)	(0.120)	(0.0974)	(0.102)	(0.0235)	(0.0427)	(0.0977)	(0.120)	(0.0974)	(0.102)	(0.0235)
