	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey
						
network_twoside	0.400**			0.400**		
	(0.173)			(0.173)		
male	0.0158	0.00928	0.0216	0.0158	0.00928	0.0216
	(0.0730)	(0.0768)	(0.0732)	(0.0730)	(0.0768)	(0.0732)
age	0.00456***	0.00447***	0.00449***	0.00456***	0.00447***	0.00449***
	(0.00125)	(0.00126)	(0.00122)	(0.00125)	(0.00126)	(0.00122)
agpop	-0.00971	-0.00941	-0.00890	-0.00971	-0.00941	-0.00890
	(0.00701)	(0.00698)	(0.00686)	(0.00701)	(0.00698)	(0.00686)
ricearea_2010	0.00416***	0.00407***	0.00436***	0.00416***	0.00407***	0.00436***
	(0.00100)	(0.00104)	(0.00103)	(0.00100)	(0.00104)	(0.00103)
literacy	0.0804**	0.0850***	0.0891***	0.0804**	0.0850***	0.0891***
	(0.0330)	(0.0326)	(0.0328)	(0.0330)	(0.0326)	(0.0328)
intensive	0.0245	0.0261	0.0252	0.0245	0.0261	0.0252
	(0.0332)	(0.0340)	(0.0331)	(0.0332)	(0.0340)	(0.0331)
risk_averse	0.111**	0.116**	0.109**	0.111**	0.116**	0.109**
	(0.0487)	(0.0493)	(0.0491)	(0.0487)	(0.0493)	(0.0491)
disaster_prob	0.00199**	0.00191**	0.00179**	0.00199**	0.00191**	0.00179**
	(0.000811)	(0.000815)	(0.000804)	(0.000811)	(0.000815)	(0.000804)
o.friend1	-	-	-	-	-	-
						
o.friend2	-	-	-	-	-	-
						
friend3	0.119	0.0495	0.0519	0.119	0.0495	0.0519
	(0.259)	(0.244)	(0.230)	(0.259)	(0.244)	(0.230)
friend4	0.165	0.0745	0.0982	0.165	0.0745	0.0982
	(0.171)	(0.124)	(0.128)	(0.171)	(0.124)	(0.128)
friend5	0.304**	0.226***	0.220***	0.304**	0.226***	0.220***
	(0.127)	(0.0576)	(0.0658)	(0.127)	(0.0576)	(0.0658)
_Ivilid_2	-0.498***	-0.535***	-0.440***	-0.498***	-0.535***	-0.440***
	(0.144)	(0.168)	(0.134)	(0.144)	(0.168)	(0.134)
_Ivilid_3	-0.332***	-0.388***	-0.278***	-0.332***	-0.388***	-0.278***
	(0.0615)	(0.0986)	(0.0661)	(0.0615)	(0.0986)	(0.0661)
_Ivilid_4	-0.179***	-0.238**	-0.142**	-0.179***	-0.238**	-0.142**
	(0.0466)	(0.0924)	(0.0595)	(0.0466)	(0.0924)	(0.0595)
o._Ivilid_5	-	-	-	-	-	-
						
_Ivilid_6	0.0151	-0.0202	0.0834	0.0151	-0.0202	0.0834
