	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey
										
intensive	0.136	0.151***	0.128***	0.131***	0.196***	0.136	0.151***	0.128***	0.131***	0.196***
	(0.0965)	(0.0347)	(0.0328)	(0.0303)	(0.0576)	(0.0965)	(0.0347)	(0.0328)	(0.0303)	(0.0576)
inter_intensive_age	0.000100					0.000100				
	(0.00188)					(0.00188)				
male	0.0408	0.0439	0.0400	0.0409	0.0356	0.0408	0.0439	0.0400	0.0409	0.0356
	(0.0476)	(0.0469)	(0.0472)	(0.0474)	(0.0475)	(0.0476)	(0.0469)	(0.0472)	(0.0474)	(0.0475)
age	0.00172	0.00185*	0.00175	0.00178*	0.00184*	0.00172	0.00185*	0.00175	0.00178*	0.00184*
	(0.00142)	(0.00104)	(0.00107)	(0.00106)	(0.00106)	(0.00142)	(0.00104)	(0.00107)	(0.00106)	(0.00106)
agpop	-0.00294	-0.00216	-0.00315	-0.00309	-0.00329	-0.00294	-0.00216	-0.00315	-0.00309	-0.00329
	(0.00519)	(0.00537)	(0.00519)	(0.00520)	(0.00519)	(0.00519)	(0.00537)	(0.00519)	(0.00520)	(0.00519)
ricearea_2010	0.000789	0.000773	0.000756	0.000786	0.000812	0.000789	0.000773	0.000756	0.000786	0.000812
	(0.000755)	(0.000767)	(0.000730)	(0.000754)	(0.000774)	(0.000755)	(0.000767)	(0.000730)	(0.000754)	(0.000774)
literacy	0.0832***		0.0830***	0.0836***	0.0842***	0.0832***		0.0830***	0.0836***	0.0842***
	(0.0270)		(0.0268)	(0.0270)	(0.0268)	(0.0270)		(0.0268)	(0.0270)	(0.0268)
_Ivilid_2	-0.412***	-0.392***	-0.411***	-0.415***	-0.668***	-0.412***	-0.392***	-0.411***	-0.415***	-0.668***
	(0.105)	(0.101)	(0.109)	(0.107)	(0.215)	(0.105)	(0.101)	(0.109)	(0.107)	(0.215)
_Ivilid_3	-0.194***	-0.183***	-0.191***	-0.193***	-0.361***	-0.194***	-0.183***	-0.191***	-0.193***	-0.361***
	(0.0322)	(0.0329)	(0.0344)	(0.0322)	(0.126)	(0.0322)	(0.0329)	(0.0344)	(0.0322)	(0.126)
_Ivilid_4	-0.242***	-0.247***	-0.247***	-0.245***	-0.593**	-0.242***	-0.247***	-0.247***	-0.245***	-0.593**
